Education,Income,Recency,Wine,Fruits,Meat,Fish,Sweets,Gold,DealsPurchases,Web,Catalog,Store,WebVisits,Promo3,Promo4,Promo5,Promo1,Promo2,Complain,Z_CostContact,Z_Revenue,Promo6,Age,Age_Range,Customer_For,WebConversionRate,Total_Spent,Total_Purchases,Adults,Dependents,Household_size,Is_Parent,Offers_Accepted,cluster
Postgraduate,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,25,Early Adulthood,579.0,0.6666666666666666,131,7,2,1,3,1,0,3
PhD,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,49,Middle Age,404.0,3.0,1672,25,2,0,2,0,1,1
Postgraduate,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,25,Early Adulthood,223.0,0.6,30,6,1,0,1,0,0,2
Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,Middle Age,599.0,0.6666666666666666,318,10,2,0,2,0,0,3
Postgraduate,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,44,Midlife,812.0,0.4,120,7,2,1,3,1,1,3
PhD,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,62,Pre-retirement,793.0,0.6666666666666666,302,11,1,2,3,1,1,3
Postgraduate,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,68,Retirement Age,679.0,0.42857142857142855,1196,17,2,0,2,0,0,0
Postgraduate,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,63,Pre-retirement,489.0,0.2857142857142857,65,5,1,2,3,1,0,3
PhD,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,44,Midlife,365.0,2.5,913,23,2,1,3,1,0,0
2n Cycle,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,38,Midlife,485.0,0.42857142857142855,81,6,2,1,3,1,0,2
Postgraduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,41,Midlife,323.0,0.2,67,5,1,1,2,1,0,3
PhD,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,71,Retirement Age,698.0,1.1666666666666667,902,22,1,0,1,0,2,0
Postgraduate,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,34,Early Adulthood,611.0,2.0,1395,19,2,1,3,1,0,1
Postgraduate,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,29,Early Adulthood,659.0,0.25,53,5,2,1,3,1,0,2
Postgraduate,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,57,Pre-retirement,737.0,0.0,22,3,2,1,3,1,0,2
Postgraduate,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,39,Midlife,455.0,0.4,31,5,2,1,3,1,0,2
Postgraduate,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,38,Midlife,186.0,2.0,984,15,1,0,1,0,0,1
2n Cycle,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,18,Young Adults,782.0,0.3333333333333333,122,7,2,0,2,0,1,2
Postgraduate,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,46,Middle Age,586.0,0.2,55,4,2,1,3,1,0,3
PhD,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,60,Pre-retirement,783.0,0.625,1319,19,2,2,4,1,0,1
Postgraduate,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,57,Pre-retirement,233.0,2.0,507,16,1,1,2,1,0,0
Postgraduate,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,50,Middle Age,872.0,2.0,1693,28,2,0,2,0,0,1
Postgraduate,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,37,Midlife,728.0,0.2857142857142857,72,5,1,1,2,1,0,3
Postgraduate,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,37,Midlife,207.0,4.0,1617,20,1,0,1,0,3,1
Postgraduate,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,36,Midlife,567.0,1.3333333333333333,606,16,2,2,4,1,0,0
Postgraduate,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,59,Pre-retirement,772.0,3.0,1957,26,2,0,2,0,2,1
Postgraduate,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,48,Middle Age,638.0,1.6666666666666667,1093,20,1,0,1,0,1,1
Postgraduate,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,26,Early Adulthood,247.0,0.3333333333333333,29,5,1,1,2,1,0,2
PhD,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,46,Middle Age,303.0,1.1428571428571428,518,16,2,1,3,1,0,0
Postgraduate,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,32,Early Adulthood,545.0,3.0,1438,20,1,0,1,0,3,1
Postgraduate,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,39,Midlife,845.0,1.3333333333333333,612,18,2,2,4,1,0,0
Postgraduate,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,62,Pre-retirement,681.0,1.1428571428571428,884,20,1,1,2,1,0,0
PhD,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,63,Pre-retirement,568.0,1.4,606,18,1,1,2,1,0,0
Postgraduate,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,66,Retirement Age,390.0,1.75,1076,15,2,0,2,0,0,0
Postgraduate,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,43,Midlife,589.0,0.14285714285714285,34,4,2,1,3,1,1,2
Postgraduate,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,47,Middle Age,234.0,0.14285714285714285,11,3,2,2,4,1,0,2
2n Cycle,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,35,Midlife,287.0,2.2,1274,31,1,1,2,1,3,1
Postgraduate,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,56,Pre-retirement,460.0,1.25,653,17,2,1,3,1,0,0
Postgraduate,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,44,Midlife,632.0,0.4,1562,12,2,3,5,1,0,1
Postgraduate,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,60,Pre-retirement,841.0,1.3333333333333333,1253,18,2,0,2,0,0,0
Postgraduate,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,55,Pre-retirement,654.0,1.4285714285714286,863,26,2,1,3,1,0,0
PhD,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,39,Midlife,635.0,1.2857142857142858,661,19,2,2,4,1,1,0
Postgraduate,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,62,Pre-retirement,245.0,1.0,65,7,2,0,2,0,0,2
Postgraduate,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,37,Midlife,742.0,0.16666666666666666,13,3,1,1,2,1,0,3
Postgraduate,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,42,Midlife,856.0,1.4,1890,18,2,0,2,0,1,1
Postgraduate,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,38,Midlife,810.0,1.25,2209,22,1,0,1,0,2,1
2n Cycle,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,38,Midlife,483.0,0.0,18,3,2,0,2,0,0,2
Postgraduate,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,49,Middle Age,728.0,1.25,692,19,2,0,2,0,2,0
Postgraduate,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,29,Early Adulthood,854.0,0.375,165,8,1,1,2,1,0,2
Postgraduate,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,45,Middle Age,556.0,0.14285714285714285,16,3,2,1,3,1,0,2
2n Cycle,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,41,Midlife,546.0,0.42857142857142855,79,6,2,1,3,1,0,2
Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,Middle Age,599.0,0.6666666666666666,318,10,2,0,2,0,0,3
Postgraduate,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,27,Early Adulthood,309.0,3.0,778,26,1,0,1,0,0,1
Postgraduate,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,54,Middle Age,507.0,0.14285714285714285,56,5,2,2,4,1,0,2
Postgraduate,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,44,Midlife,533.0,0.42857142857142855,151,8,2,2,4,1,1,3
Postgraduate,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,57,Pre-retirement,217.0,0.8571428571428571,372,13,1,1,2,1,3,3
Postgraduate,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,41,Midlife,233.0,2.5,1366,18,2,0,2,0,1,1
Postgraduate,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,47,Middle Age,344.0,1.0,194,9,2,1,3,1,0,0
Postgraduate,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,42,Midlife,283.0,0.14285714285714285,32,4,1,1,2,1,0,3
PhD,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,44,Midlife,221.0,0.6,43,7,2,1,3,1,0,2
Postgraduate,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,31,Early Adulthood,223.0,0.3333333333333333,45,5,2,1,3,1,0,2
Postgraduate,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,54,Middle Age,769.0,1.1666666666666667,606,17,1,1,2,1,1,3
Postgraduate,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,42,Midlife,629.0,0.2857142857142857,63,5,1,2,3,1,0,3
2n Cycle,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,63,Pre-retirement,395.0,2.5,978,24,2,0,2,0,1,1
PhD,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,31,Early Adulthood,559.0,1.0,410,14,2,0,2,0,0,3
2n Cycle,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,54,Middle Age,526.0,0.25,72,5,1,1,2,1,0,3
PhD,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,Pre-retirement,276.0,0.3333333333333333,55,5,1,1,2,1,0,3
Postgraduate,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,35,Midlife,620.0,1.8,1169,25,2,1,3,1,0,1
PhD,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,69,Retirement Age,593.0,1.5,1120,15,2,0,2,0,0,0
Postgraduate,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,55,Pre-retirement,237.0,3.0,1097,19,2,0,2,0,1,1
Basic,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,35,Midlife,386.0,0.2,29,4,2,1,3,1,0,2
Postgraduate,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,50,Middle Age,463.0,0.5714285714285714,187,9,2,2,4,1,0,3
Postgraduate,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,45,Middle Age,697.0,1.0,910,22,2,2,4,1,0,0
Postgraduate,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,36,Midlife,742.0,0.42857142857142855,145,7,1,1,2,1,0,3
Postgraduate,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,54,Middle Age,754.0,2.5,850,13,2,0,2,0,0,1
Postgraduate,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,35,Midlife,424.0,2.0,969,23,2,1,3,1,0,1
PhD,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,23,Young Adults,781.0,0.7777777777777778,1820,16,1,0,1,0,2,1
Postgraduate,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,51,Middle Age,189.0,1.3333333333333333,608,17,2,1,3,1,1,0
Postgraduate,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,23,Young Adults,728.0,2.0,730,24,1,0,1,0,3,1
PhD,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,34,Early Adulthood,749.0,0.8571428571428571,551,16,2,1,3,1,0,3
Postgraduate,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,52,Middle Age,477.0,0.3333333333333333,114,6,1,2,3,1,0,3
Postgraduate,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,44,Midlife,341.0,4.0,1724,15,2,0,2,0,2,1
2n Cycle,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,36,Midlife,680.0,1.0,577,15,2,1,3,1,0,3
2n Cycle,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,Middle Age,538.0,0.2,81,5,2,2,4,1,0,2
Postgraduate,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,45,Middle Age,412.0,0.3333333333333333,33,5,2,1,3,1,0,2
Postgraduate,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,61,Pre-retirement,559.0,1.5,660,18,2,1,3,1,0,0
Postgraduate,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,47,Middle Age,310.0,0.4,80,6,1,1,2,1,1,3
Postgraduate,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,29,Early Adulthood,483.0,0.14285714285714285,30,4,2,2,4,1,0,2
Postgraduate,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,38,Midlife,618.0,0.14285714285714285,43,4,1,1,2,1,0,2
Postgraduate,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,31,Early Adulthood,659.0,3.0,1135,27,1,0,1,0,4,1
2n Cycle,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,49,Middle Age,681.0,3.0,559,14,2,0,2,0,0,0
Postgraduate,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,30,Early Adulthood,619.0,3.0,1923,15,1,0,1,0,1,1
Postgraduate,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,61,Pre-retirement,206.0,0.3333333333333333,90,6,2,2,4,1,0,0
PhD,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,58,Pre-retirement,235.0,1.5,661,19,2,2,4,1,0,1
Postgraduate,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,62,Pre-retirement,457.0,1.0,463,14,2,1,3,1,0,0
Postgraduate,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,56,Pre-retirement,661.0,1.375,632,18,1,2,3,1,0,0
Postgraduate,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,45,Middle Age,324.0,1.75,725,18,2,0,2,0,0,1
PhD,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,50,Middle Age,504.0,0.625,279,11,2,2,4,1,0,3
PhD,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,47,Middle Age,654.0,1.3333333333333333,1482,22,2,0,2,0,1,0
Basic,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,38,Midlife,875.0,0.125,29,4,1,1,2,1,0,2
PhD,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,55,Pre-retirement,542.0,0.25,106,6,2,3,5,1,0,3
PhD,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,41,Midlife,226.0,0.2,49,4,1,2,3,1,2,3
PhD,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,Middle Age,521.0,0.2857142857142857,38,5,1,2,3,1,0,3
Postgraduate,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,22,Young Adults,803.0,2.5,2077,21,1,0,1,0,0,1
Postgraduate,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,38,Midlife,412.0,0.42857142857142855,1053,15,2,1,3,1,1,0
Postgraduate,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,52,Middle Age,621.0,2.5,1385,22,2,0,2,0,0,1
PhD,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,40,Midlife,490.0,1.3333333333333333,871,22,1,1,2,1,0,0
Postgraduate,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,26,Early Adulthood,652.0,0.5714285714285714,312,9,2,1,3,1,0,3
Postgraduate,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,38,Midlife,804.0,0.375,877,12,2,2,4,1,0,0
Postgraduate,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,39,Midlife,794.0,0.3333333333333333,68,5,2,1,3,1,1,2
Postgraduate,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,33,Early Adulthood,490.0,0.125,22,3,2,1,3,1,0,3
2n Cycle,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,41,Midlife,861.0,0.5,211,9,2,3,5,1,0,3
Postgraduate,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,48,Middle Age,193.0,0.6666666666666666,127,7,2,0,2,0,0,3
Postgraduate,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,61,Pre-retirement,251.0,1.3333333333333333,459,15,2,2,4,1,0,0
Postgraduate,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,45,Middle Age,299.0,1.3333333333333333,460,15,2,1,3,1,1,0
2n Cycle,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,42,Midlife,747.0,1.0,429,13,2,1,3,1,0,3
Postgraduate,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,26,Early Adulthood,233.0,0.5,89,7,1,1,2,1,0,3
PhD,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,62,Pre-retirement,813.0,1.6,1021,24,2,1,3,1,0,0
Postgraduate,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,65,Retirement Age,680.0,2.5,1381,20,2,0,2,0,3,1
Postgraduate,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,56,Pre-retirement,541.0,0.8571428571428571,306,12,1,1,2,1,0,3
Postgraduate,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,36,Midlife,475.0,0.0,18,3,1,3,4,1,0,0
Postgraduate,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,37,Midlife,440.0,0.5,162,8,2,1,3,1,0,0
Postgraduate,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,59,Pre-retirement,498.0,3.0,1231,17,1,0,1,0,0,1
Postgraduate,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,Pre-retirement,548.0,0.14285714285714285,13,3,1,3,4,1,0,2
PhD,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,69,Retirement Age,786.0,1.6666666666666667,1706,25,2,0,2,0,0,1
Postgraduate,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,30,Early Adulthood,360.0,0.375,121,7,2,1,3,1,0,2
PhD,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,39,Midlife,609.0,2.5,1293,19,1,0,1,0,0,1
PhD,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,41,Midlife,305.0,0.0,1608,22,2,1,3,1,0,4
